Variable,Description,Type
EstablishmentID,A unique numeric identifier that is used to identify an establishment across data tables in the FSIS databases.,Non-predictor
EstablishmentNumber,A letter/number combination uniquely identifying each establishment.,Non-predictor
EstablishmentName,The name of an establishment on its FSIS grant of inspection.,Non-predictor
State,The state where the establishment is located.,Non-predictor
ProjectCode,A short name given to easily identify an FSIS sampling project.,Non-predictor
ProjectName,The name of the FSIS sampling project,Non-predictor
FormID,The form number usedto uniquely identify a specific sample.,Non-predictor
CollectionDate,The date the FSIS inspector collected the sample atthe FSIS-regulatedestablishment.,Non-predictor
SampleSource,The type of product collectedin the sample,Non-predictor
SalmonellaSPAnalysis,The result of the analysisfor Salmonella speciesin the sample.,Outcome
SalmonellaSerotype,The name of the distinct variation of the tested species of bacteria. A list of the serotypes that are more commonly associated with human illness can be found on the Centers for Disease Control and Prevention (CDC) web site on their National Salmonella Surveillance web page,Non-predictor
SalmonellaPFGEPattern,"The specific patternidentified from Pulsed-Field Gel Electrophoresis(PFGE), which is the laboratory technique used to produce a deoxyribonucleic acid (DNA) fingerprint for a group of the same type of bacteria. FSIS discontinued PFGE characterization in March 2019 and replaced the technique with the more modern whole genome sequencing (WGS) characterization.",Non-predictor
SalmonellaAlleleCode,Definition: A code assignedby CDC-PulseNet basedon the number of differences in predefined genes in the WGS data. The allele code also includes the date when FSIS retrieved the allele code from PulseNet,Non-predictor
SalmonellaFSISNumber,A unique identifier for retrieving Whole Genome Sequencing (WGS) data for a Salmonella isolate from the National Center for Biotechnology and Information (NCBI) PathogenDetection Isolates Browser,Non-predictor
SalmonellaAMRResistanceProfile,The antimicrobial resistance profile of the antimicrobial drugs phenotypically tested to which isolates are found to be resistant using the National Antimicrobial Resistance Monitoring System (NARMS) panel 5,Non-predictor
CampylobacterAnalysis1ml,The result of the analysis for Campylobacter species in the sample that was testedusing the direct plate method.,Non-predictor
CampylobacterAnalysis30ml,The result of the analysis for Campylobacter species in the sample that was testedusing the enrichment method.,Outcome
CampylobacterSpecies,"Species designation for isolates belonging to the genus Campylobacter. Isolates are positive if they are species jejuni, coli, or lari",Non-predictor
CampylobacterPFGEPattern,"The specific patternidentified from PFGE, the laboratory technique usedto produce a DNA fingerprint for a group of the same type of bacteria. PFGE characterization was discontinued in November 2018.",Non-predictor
CampylobacterAlleleCode,A code assigned by CDC-PulseNet based on the number of differences in pre-defined genes in the WGS data.,Non-predictor
CampyFSISNumber,A unique identifier for retrieving Whole Genome Sequencing (WGS) data for a Campylobacter isolate from the National Center for Biotechnology and Information (NCBI) Pathogen Detection Isolates Browser.,Non-predictor
CampyAMRResistanceProfile,The antimicrobial resistance profile of the antimicrobial drugs phenotypically tested to which isolates are found to be resistant using the National Antimicrobial Resistance Monitoring System (NARMS) panel 5.,Non-predictor
Weekday,The day of week when the sample was taken,Non-predictor
Longitude,Longitude of the establishment ,Predictor
Latitude,Latitude of the establishment,Predictor
WeatherDate_DayX,The date of x day before sampling,Non-predictor
MaxTemp_DayX,The maximum temperature on day X before sampling; obtained from visualcrossing.com,Predictor
MinTemp_DayX,The minimum temperature on day X before sampling; obtained from visualcrossing.com,Predictor
AverageTemp_DayX,The average temperature on day X before sampling; obtained from visualcrossing.com,Predictor
Precipitation_DayX,The precipitation on day X before sampling; obtained from visualcrossing.com,Predictor
Humidity_DayX,The humidity on day X before sampling; obtained from visualcrossing.com,Predictor
PrecipType_DayX,The precipitation type on day X before sampling; obtained from visualcrossing.com,Predictor
Snow_DayX,The snow level on day X before sampling; obtained from visualcrossing.com,Predictor
SnowDepth_DayX,The snow depth on day X before sampling; obtained from visualcrossing.com,Predictor
WindGust_DayX,The wind gust on day X before sampling; obtained from visualcrossing.com,Predictor
WindSpeed_DayX,The wind speed on day X before sampling; obtained from visualcrossing.com,Predictor
WindDirection_DayX,The wind direction on day X before sampling; obtained from visualcrossing.com,Predictor
Pressure_DayX,The air pressure on day X before sampling; obtained from visualcrossing.com,Predictor
CloudCover_DayX,The cloud cover on day X before sampling; obtained from visualcrossing.com,Predictor
Visibility_DayX,The visibility on day X before sampling; obtained from visualcrossing.com,Predictor
Solar Radiation_DayX,The sola rradiation on day X before sampling; obtained from visualcrossing.com,Predictor
DEW_DayX,The dew point on day X before sampling; obtained from visualcrossing.com,Predictor
Numerical_Weekday,Weekday presented in numerical value,Predictor
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
